measurement_id,city_id,city_name,longitude,latitude,weather_id,weather_main,weather_description,weather_icon,base,temperature,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,cod
50,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
51,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.48,16.98,15.02,18.26,1018,65,10000,2.06,20,0,2024-03-21 18:05:19,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
52,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
53,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
54,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
55,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
56,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.48,16.98,15.02,18.26,1018,65,10000,2.06,20,0,2024-03-21 18:05:19,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
57,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
58,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
59,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
60,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,18.44,17.93,16.49,19.99,1017,61,10000,4.63,270,0,2024-03-21 18:02:25,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
61,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.48,16.98,15.02,18.26,1018,65,10000,2.06,20,0,2024-03-21 18:05:19,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
62,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:06:50,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
63,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,10.83,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:02:40,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
64,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:06:01,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
65,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
66,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
67,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.46,15.18,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:09:04,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
68,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
69,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
70,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
71,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
72,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.4,15.11,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:20:00,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
73,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
74,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
75,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
76,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
77,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.4,15.11,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:20:00,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
78,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
79,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
80,3173435,Milan,9.1895,45.4643,800,Clear,clear sky,01n,stations,17.99,17.49,15.92,19.61,1018,63,10000,4.12,280,0,2024-03-21 18:18:10,2,2012644,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600,200
81,3181927,Bologna,11.4333,44.4667,800,Clear,clear sky,01n,stations,17.51,17.04,15.02,18.27,1018,66,10000,2.06,20,0,2024-03-21 18:13:59,2,2004497,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600,200
82,2525471,Provincia di Cagliari,9.0912,39.245,800,Clear,clear sky,01n,stations,15.4,15.11,14.88,17.19,1021,81,10000,4.12,150,0,2024-03-21 18:20:00,1,6720,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600,200
83,727011,Sofia,23.3242,42.6975,802,Clouds,scattered clouds,03n,stations,10.83,8.8,8.91,10.83,1017,32,10000,3.09,290,28,2024-03-21 18:16:57,1,6366,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200,200
84,728193,Plovdiv,24.75,42.15,803,Clouds,broken clouds,04n,stations,10.04,8.72,10.04,10.17,1016,62,10000,4.63,110,75,2024-03-21 18:16:39,1,6363,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200,200
