measurement_id,city_id,weather_id,temperature,temp_min,temp_max,wind_speed,dt,sys_country,sys_sunrise,sys_sunset,timezone
64,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:06:01,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
65,3173435,800,17.99,15.92,19.61,4.12,2024-03-21 18:18:10,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
66,3181927,800,17.51,15.02,18.27,2.06,2024-03-21 18:13:59,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
67,2525471,800,15.46,14.88,17.19,4.12,2024-03-21 18:09:04,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
68,727011,802,10.83,8.91,10.83,3.09,2024-03-21 18:16:57,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
69,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:16:39,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
70,3173435,800,17.99,15.92,19.61,4.12,2024-03-21 18:18:10,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
71,3181927,800,17.51,15.02,18.27,2.06,2024-03-21 18:13:59,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
72,2525471,800,15.4,14.88,17.19,4.12,2024-03-21 18:20:00,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
73,727011,802,10.83,8.91,10.83,3.09,2024-03-21 18:16:57,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
74,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:16:39,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
75,3173435,800,17.99,15.92,19.61,4.12,2024-03-21 18:18:10,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
76,3181927,800,17.51,15.02,18.27,2.06,2024-03-21 18:13:59,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
77,2525471,800,15.4,14.88,17.19,4.12,2024-03-21 18:20:00,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
78,727011,802,10.83,8.91,10.83,3.09,2024-03-21 18:16:57,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
79,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:16:39,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
80,3173435,800,17.99,15.92,19.61,4.12,2024-03-21 18:18:10,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
81,3181927,800,17.51,15.02,18.27,2.06,2024-03-21 18:13:59,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
82,2525471,800,15.4,14.88,17.19,4.12,2024-03-21 18:20:00,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
83,727011,802,10.83,8.91,10.83,3.09,2024-03-21 18:16:57,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
84,728193,803,10.04,10.04,10.17,4.63,2024-03-21 18:16:39,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
85,3173435,800,17.45,15.37,18.86,4.12,2024-03-21 18:48:09,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
86,3181927,800,16.39,14.65,16.85,3.09,2024-03-21 18:40:24,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
87,2525471,800,15.16,14.88,16.08,3.6,2024-03-21 18:45:51,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
88,727011,801,10.83,8.36,10.83,4.12,2024-03-21 18:45:10,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
89,728193,803,10.04,10.04,10.17,4.12,2024-03-21 18:39:06,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
90,3173435,800,17.45,15.37,18.86,4.12,2024-03-21 18:53:15,IT,2024-03-21 05:23:57,2024-03-21 17:36:39,3600
91,3181927,804,16.1,14.09,16.6,3.09,2024-03-21 19:03:01,IT,2024-03-21 05:15:07,2024-03-21 17:27:32,3600
92,2525471,800,15.27,14.88,15.51,2.57,2024-03-21 19:06:02,IT,2024-03-21 05:25:06,2024-03-21 17:36:17,3600
93,727011,801,10.83,8.36,10.83,4.12,2024-03-21 18:57:24,BG,2024-03-21 04:27:50,2024-03-21 16:39:42,7200
94,728193,801,8.04,8.04,9.17,4.12,2024-03-21 19:06:03,BG,2024-03-21 04:22:13,2024-03-21 16:33:56,7200
